회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
금호석유화학(주),011780,2021/12,8115674807,59.67,62.63,75.94,2127031389,3.59,1.71,8461841500,
금호전기(주),001210,2021/12,83849544,356.63,21.9,-7.74,-11880360,4.94,2.92,41640598,
금호타이어(주),073240,2021/12,4342205986,238.82,29.51,19.83,80409576,3.61,1.56,2601223216,
기아(주),000270,2021/12,66849997000,91.48,52.23,18.07,7359670000,1.91,1.15,69862366000,
깨끗한나라(주),004540,2021/12,598691300,160.88,38.33,-2.17,31366479,1.63,0.65,578743925,
남광토건(주),001260,2021/12,273978349,212.24,32.03,49.92,-10811766,2.24,1.24,356740020,
남양유업(주),003920,2021/12,937403119,15.31,86.72,0.75,38401477,0.91,0.32,956084030,
남해화학(주),025860,2021/12,719110525,52.48,65.58,0,-118071167,1.76,0.88,1451884407,
네이버(주),035420,2021/12,33691006757,40.22,71.32,0,1379905729,8.3,5.1,6817599707,
넥센타이어(주),002350,2021/12,3823413438,138.97,41.85,22.45,265157560,0.77,0.41,2079407030,
넷마블(주),251270,2021/12,10663783074,77.5,56.34,0.89,137464408,2.34,1.73,2506906374,
다스코(주),058730,2021/12,298527300,138.16,41.99,61.98,-13031530,1.08,0.62,363600169,
다올투자증권(주),030210,2021/12,,,,,-619514531,,,779882897,
대덕전자(주),353200,2021/12,941014399,38,72.46,0,203808776,1.98,0.92,1000931519,
대림비앤코(주),005750,2021/12,326583009,107.5,48.19,12.05,-2745075,1.15,0.58,260359422,
대림통상(주),006570,2021/12,165802431,117.77,45.92,-0.86,-2709491,1.24,0.53,155229119,
대상(주),001680,2021/12,2870530106,130.15,43.45,11.46,58662398,0.97,0.66,3469992523,
대상홀딩스(주),084690,2021/12,3626092434,143.18,41.12,12.03,23259927,1.38,0.91,4205969182,
대성산업(주),128820,2021/12,1652414613,258.52,27.89,33.62,-22278858,0.64,0.31,1129133660,
대성에너지(주),117580,2021/12,742479535,133.97,42.74,3.67,54742669,1.2,0.45,770440987,
대성홀딩스(주),016710,2021/12,1244012863,108.41,47.98,5.73,68159768,3.19,1.61,940471513,
대신증권(주),003540,2021/12,,,,,-1402568980,,,3635331998,
대영포장(주),014160,2021/12,,,,,,2.62,0.95,,
대우전자부품(주),009320,2021/12,,,,,,5.49,3.3,,
대우조선해양(주),042660,2021/12,10623209555,379.04,20.87,-36.18,485786909,2.06,1.13,4486585681,
대원강업(주),000430,2021/12,983029517,70.37,58.7,0,14375102,0.79,0.54,862222797,
대원전선(주),006340,2021/12,240573776,174.49,36.43,29.31,-9431377,3.22,0.94,474978487,
대원제약(주),003220,2021/12,429579922,96.69,50.84,0,22413391,2.8,1.68,354176435,
대원화성(주),024890,2021/12,135832582,91.28,52.28,4.18,-7359461,4.12,0.95,113339078,
대창단조(주),015230,2021/12,298478419,31.39,76.11,34.02,-13449642,0.9,0.52,354439662,
대한방직(주),001070,2021/12,232612120,66.79,59.96,14.34,-9440407,1.97,1.49,200372905,
대한유화(주),006650,2021/12,2478873031,22.16,81.86,0,309011529,1.38,0.56,2514851602,
대한전선(주),001440,2021/12,1420870615,266.43,27.29,25.1,-19314404,11.51,2.03,1997709556,
대한제강(주),084010,2021/12,1232437581,71.12,58.44,85.22,147565209,1.22,0.48,2030305294,
대한제당(주),001790,2021/12,1182290229,131.28,43.24,0,-11839308,8.74,0.55,1261349333,
대한제분(주),001130,2021/12,1321597381,50.08,66.63,14.54,28657927,0.47,0.32,1111341734,
대한해운(주),005880,2021/12,3859734559,154.25,39.33,30.51,319723282,1.26,0.68,1153843059,
