,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
녹십자,1550614664000.0,46.42,68.3,14.32,24.41,B이하,C,B+,B이하,2016,의약품,-0.001454444696122949,2.485
녹십자홀딩스,2249277259000.0,63.34,61.22,19.56,51.25,B이하,B,B+,B이하,2016,서비스업,-0.0005946770738405562,3.2
농심,2481287284000.0,37.67,72.64,1.62,76.05,B이하,D,B이하,B+,2016,음식료품,0.0996658993695917,1.43
농심홀딩스,1171929234000.0,39.27,71.8,10.85,40.0,B이하,C,B이하,B이하,2016,서비스업,0.034294249782699356,1.245
다우기술,9818253246000.0,510.75,16.37,9.88,48.22,B이하,B,B이하,B이하,2016,서비스업,-0.3098962860065378,2.05
대교,848138969000.0,27.96,78.15,0.92,24.52,B+,A,B+,B이하,2016,서비스업,0.10448557788723695,1.605
대구백화점,626013405000.0,66.24,60.15,0.09,5.71,B이하,B+,B+,B이하,2016,유통업,0.03850453487420139,0.47000000000000003
대림통상,230655433000.0,97.87,50.54,3.98,13.9,B이하,C,B이하,B이하,2016,기계,0.07623396772102597,0.8400000000000001
대상,2308460528000.0,166.18,37.57,8.35,40.04,B이하,C,B+,B이하,2016,음식료품,0.01918262011668982,1.4249999999999998
대상홀딩스,2689293818000.0,156.07,39.05,8.73,17.02,B이하,B,B이하,B이하,2016,서비스업,0.023567874599018483,1.43
대성산업,949116900000.0,1259.84,7.35,-17.33,0.0,B이하,C,B이하,B이하,2016,유통업,0.0493649374822663,6.58
대성에너지,622322683000.0,112.91,46.97,-15.63,25.0,B이하,C,B이하,B이하,2016,전기가스업,0.06964746126901798,0.6100000000000001
대성홀딩스,1128442415000.0,107.33,48.23,-15.7,25.0,B이하,B,B이하,B이하,2016,서비스업,0.0706404513587596,0.7050000000000001
대신증권,14532865342000.0,763.92,11.58,20.07,9.26,B이하,A,B이하,B이하,2016,증권,-0.19214315936049048,0.6000000000000001
대양금속,100099259000.0,505.75,16.51,20.31,0.0,B이하,B,B이하,B+,2016,철강금속,0.05375744601530568,5.6899999999999995
대영포장,209726030000.0,51.84,65.86,9.38,0.0,B이하,C,B이하,B이하,2016,종이목재,0.026819879851874076,0.825
대우건설,9970246457000.0,381.68,20.76,11.78,0.0,B+,B,A,A,2016,건설업,0.03231013195955738,1.34
대우조선해양,15064829699000.0,2184.71,4.38,-16.99,0.0,B+,C,B+,A,2016,운수장비,-0.04142269026145712,1.5299999999999998
대웅,1467286018000.0,69.7,58.93,1.82,14.85,B이하,C,B이하,B이하,2016,서비스업,0.018479282317428562,2.19
대웅제약,1144699986000.0,89.35,52.81,5.27,21.38,B이하,C,B+,B이하,2016,의약품,0.017396782068928886,2.2750000000000004
대원강업,1288363972000.0,132.48,43.01,6.23,25.0,B이하,B,B이하,B이하,2016,운수장비,0.084147538883675,0.845
