기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
현대모비스,운수장비,2022,31.64572160490074,-0.550329232847382,0.7122321791072407,0.8530076109183978,0.021628417457763463,-0.45704858627316997,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
세종공업,운수장비,2013,27.270869271714105,-0.27025954669764335,-0.0936285942855242,0.0009734610712196811,0.3866754638123885,-0.3087503956251485,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
LG이노텍,전기전자,2017,29.40215074360303,0.3292726188841091,-0.9328126728098483,1.2700031477847815,0.14096462632425288,0.37342128135575,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
삼익악기,기타제조업,2016,26.749185509813,-0.33477732501709806,0.05374489601460878,1.1206465732821584,-1.0534955866209486,-0.1670432356725948,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
솔루스첨단소재,전기전자,2022,28.010169904714406,-0.4787628161917049,0.4587873231770762,0.6790924050378269,0.42608560711395566,3.016424590238265,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,고배당기업
대교,서비스업,2021,27.424693546370605,-0.4878009895421836,0.4883558897022619,-0.2822025946132836,0.2739736571624569,-0.37136518723209094,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
아이에스동서,비금속광물,2021,28.88656740510502,-0.01395059300388001,-0.5423198577470756,1.3301467348328178,0.8920833064727647,-0.08465535197924941,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,고배당기업
한국주강,기계,2021,24.639176874173632,-0.366609885245199,0.13353309140003086,1.316113231188276,-1.1928541133141963,0.3141020050965415,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,무배당기업
광명전기,전기전자,2014,25.654713779114747,-0.38235563378659904,0.17483521607013194,0.34629789003869366,0.3883542698920146,0.014210108452764816,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
SH에너지화학,화학,2014,25.430463653696677,-0.6361066138906042,1.0797272202059798,-0.3949718203283513,0.5933360636654439,0.320693035792009,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
일신방직,섬유의복,2013,27.377672350643742,-0.7020454886488134,1.4251631719922793,-0.5658798468565206,0.5994737948304235,-0.6877346606145367,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
롯데손해보험,보험,2012,28.874430573264153,4.357967335038043,-2.2037916910670456,0.09670200378934388,0.152389668603414,-0.11761050545658767,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,무배당기업
한솔케미칼,화학,2011,26.49727142913758,-0.18186734820711278,-0.27010130878504635,0.7111689847967795,-0.04527259854462367,-0.061586744545112794,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,일반배당기업
세방,운수창고업,2012,27.52920026049762,-0.5441900962319626,0.6887650628174107,-0.679150269130322,-0.04570100132609517,-0.542731985314249,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
